search_id,execution_date,pass_type,source_family,query_or_chase,scope,screened_count,retained_ids,material_new_work,notes
S13,2026-07-11,citation_chase,Forward/current works citing routing anchors,"2025-2026 budget pacing risk routing drift multi-tenant",2025-2026,22,"R02;R03;R04;R05;R06;R07;R08;R10;R12;R23;R24;R25",true,"Materially narrowed novelty to outstanding stochastic liability."
S14,2026-07-11,database_search,Security/control-plane search,"LLM router adversarial control plane integrity governance policy constraints",2024-2026,12,R11,true,"No peer-reviewed predecessor found for the complete governance-plus-liability problem; static feasibility filtering is still not claimed novel."
S15,2026-07-11,database_search,Chance/conformal search,"conformal risk control adaptive conformal distribution shift risk allocation joint chance",2008-2026,18,"R06;R07;R41;R42;R43",true,"Shows risk control and allocation are known machinery."
S16,2026-07-11,expanded_search,Expanded synonym pass 1,"(financial liability OR cost exposure OR reservation OR escrow) AND (LLM OR generative model) AND (concurrent OR delayed settlement OR telemetry)",all years through 2026-07-11,31,"R01;R02;R45;R46",false,"No new work materially changed the closest-work ordering or narrow novelty conclusion."
S17,2026-07-11,citation_chase,Expanded forward/backward pass 1,"References and citing works for R01 R02 R03 R04 R06 R08",all years through 2026-07-11,37,"R05;R07;R10;R11;R12;R25;R29",false,"New contextual papers were already represented; no exact multi-tenant outstanding-liability solution found."
S18,2026-07-11,expanded_search,Expanded synonym pass 2,"(unknown output tokens OR tail output length OR probabilistic cost) AND (hard budget OR admission control OR reserve settle) AND multi-tenant",all years through 2026-07-11,29,"R01;R26;R27;R28;R29;R30",false,"Output uncertainty work optimizes scheduling; it does not implement hard tenant-window monetary settlement."
S19,2026-07-11,citation_chase,Expanded forward/backward pass 2,"Citations around output prediction fairness escrow transactional streams and risk control",all years through 2026-07-11,34,"R30;R41;R42;R43;R45;R46;R47",false,"Second saturation pass found known component literature only; novelty matrix unchanged."
S20,2026-07-11,database_search,PVLDB/ACM/USENIX/operator reliability,"Kubernetes operator controller automatic reliability end-to-end testing transaction availability partitions",2013-2026,12,"R49;R50;R51",true,"Filled controller/operator reliability and distributed-transaction boundary; did not change novelty conclusion."
S21,2026-07-11,citation_chase,Risk-control foundations,"Learn-then-Test multiple testing finite-sample calibration",2021-2026,7,R48,true,"Added peer-reviewed version of finite-sample risk calibration; GOV-AR conditional-selection caveat remains."
S22,2026-07-12,database_search,"ICML/ICLR 2026 accepted programs","risk-aware calibrated LLM routing; continual constrained routing; selective deferred routing",2026,"3","R52;R53;R54",true,"Added RACER, CONCUR, and Selective Deferred Routing; generic risk-aware, calibrated, continual-budget, and local/remote deferral novelty is explicitly excluded."
S23,2026-07-12,expanded_search,"Gateway and agent cost-control implementations","LLM gateway budget reservation settlement pending usage budget envelope two-phase enforcement",2025-2026,18,"R55;R56;R57",true,"Solo.io quota-management and Keel show that gateway/PostgreSQL reserve-dispatch-reconcile and outstanding budget envelopes are existing practice; AgentBudget shows two-phase agent-call enforcement. Systems-integration novelty was removed."
S24,2026-07-12,citation_chase,"Post-update forward/backward and product chase","R52-R57 references, cited implementations, risk allocation, quantile reservation, drift, gateway competitors",all years through 2026-07-12,31,"R01;R06;R07;R41;R48;R52;R55;R56;R57",false,"Screened CR2, Conformal Thinking, Dual-Pool, RouteNLP, CP-Router, ZEBRA, current gateway spend limits, and product envelopes. None added the full conditional tail-liability plus conservative faulty-event semantics; no broader novelty claim remains."
S25,2026-07-12,expanded_search,"Exact fault-semantics saturation pass","LLM cost reservation late duplicate missing out-of-order settlement orphan response idempotent",all years through 2026-07-12,24,"R45;R46;R49;R50;R51;R55;R56",false,"No additional citable LLM-specific work demonstrated calibrated monetary tail reservations with late/missing/duplicate/reordered settlement. Generic transaction and controller-reliability machinery remains known and is not claimed novel."
S26,2026-07-13,database_search,"ACL/EMNLP/EACL/NeurIPS 2025-2026 routing refresh","LLM routing cost budget benchmark SLA quantile output length observational feedback dynamic model pool",2025-2026,41,"R58;R59;R60;R61;R62;R63;R64;R65;R66;R67;R72;R73;R74;R75;R76;R77",true,"Primary proceedings searches exposed material omissions. QUARTZ removes novelty in quantile-aware request-cost admission; MESS+ and SLARouter remove generic online cost/SLA novelty; RouterEval was added as the selected full-matrix dataset with an explicit online-feedback isolation boundary."
S27,2026-07-13,expanded_search,"Global/session budgets, token pools, and current gateway practice","LLM budget bankruptcy token-budget pool routing multi-tenant budget hierarchy gateway provider cap model allowlist",2025-2026,28,"R61;R68;R69;R70",true,"Added SeqRoute for global multi-turn budget bankruptcy, token-budget-aware pool routing for online length proxies, and Bifrost for current multi-tenant gateway budget/governance architecture. None implements conservative monetary reserve-settle semantics."
S28,2026-07-13,citation_chase,"Forward/backward chase from RouterEval QUARTZ MTRouter MESS+ and CSCR","references and citing works; sparse feedback; SLA routing; cost spectrum; length-aware routing",2023-2026,37,"R58;R61;R62;R63;R65;R66;R71;R72;R73;R74",true,"Found SLARouter, the closest sparse one-sided-feedback cost/SLA preprint, plus accepted causal/sparse-data routers. The contribution was narrowed again: selected-only feedback, online adaptation, virtual queues, SLA constraints, and cost-optimal routing are not novel."
S29,2026-07-13,expanded_search,"Post-refresh exact-liability saturation pass","(LLM OR large language model) AND (reserve before dispatch OR pending spend OR delayed settlement OR outstanding liability) AND budget",all years through 2026-07-13,32,"R01;R55;R56;R57;R62;R70",false,"No new source materially changed the post-refresh boundary. FINOS denial-of-wallet guidance and additional gateway pages describe caps and monitoring, not calibrated concurrent output-cost liability or conservative faulty-event settlement."
S30,2026-07-13,citation_chase,"Post-refresh anchor and reference saturation pass","SLARouter CSCR QUARTZ FLARE RouterEval ContextualRouter RadialRouter MESS+ Causal LLM Routing SemiRouter",all years through 2026-07-13,35,"R58;R59;R60;R62;R63;R65;R66;R71;R72;R73;R74;R77",false,"The second post-refresh pass found no work that changed the closest-prior-work ordering or the remaining monetary-liability/fault-semantics boundary. R2A strengthens the already-known router-manipulation threat but does not alter the approved contribution."
