id,decision,metadata_verified,relevant,peer_reviewed,primary_source_url,verification_date,reason
R21,retain,true,true,true,https://proceedings.neurips.cc/paper_files/paper/2024/hash/a6deba3b2408af45b3f9994c2152b862-Abstract-Conference.html,2026-07-11,"NeurIPS 2024 budget-constrained model/prompt policy."
R22,retain,true,true,true,https://proceedings.iclr.cc/paper_files/paper/2024/hash/11f5520daf9132775e8604e89f53925a-Abstract-Conference.html,2026-07-11,"ICLR 2024 token-uncertainty cascade."
R23,retain,true,true,true,https://aclanthology.org/2025.emnlp-main.331/,2026-07-11,"EMNLP 2025 blocking/deferral router."
R24,retain,true,true,true,https://openreview.net/forum?id=KDcwXKr0NU,2026-07-11,"ICLR 2026 distributed self-routing."
R25,retain,true,true,false,https://arxiv.org/abs/2601.19402,2026-07-11,"Recent SLA-aware constrained routing preprint."
R26,retain,true,true,true,https://proceedings.neurips.cc/paper_files/paper/2023/hash/3a13be0c5dae69e0f08065f113fb10b8-Abstract-Conference.html,2026-07-11,"Output-length prediction and misprediction handling."
R27,retain,true,true,true,https://proceedings.neurips.cc/paper_files/paper/2023/hash/ce7ff3405c782f761fac7f849b41ae9a-Abstract-Conference.html,2026-07-11,"Response-length prediction and scheduling."
R28,retain,true,true,true,https://proceedings.iclr.cc/paper_files/paper/2025/file/9eb8b5ccb0de594a16548f7c058fdadf-Paper-Conference.pdf,2026-07-11,"ICLR 2025 refined output-length prediction."
R29,retain,true,true,false,https://arxiv.org/abs/2604.00499,2026-07-11,"Heavy-tail distribution-aware scheduling preprint."
R30,retain,true,true,true,https://www.usenix.org/conference/osdi24/presentation/sheng,2026-07-11,"OSDI 2024 multi-tenant token fairness."
R31,retain,true,true,true,https://www.usenix.org/conference/osdi24/presentation/sun-biao,2026-07-11,"OSDI 2024 dynamic request scheduling."
R32,retain,true,true,true,https://www.usenix.org/conference/osdi24/presentation/agrawal,2026-07-11,"OSDI 2024 serving throughput/latency scheduling."
R33,retain,true,true,true,https://doi.org/10.1145/3600006.3613165,2026-07-11,"SOSP 2023 LLM serving memory management."
R34,retain,true,true,true,https://proceedings.mlr.press/v235/duan24a.html,2026-07-11,"ICML 2024 multi-model serving."
R35,retain,true,true,true,https://doi.org/10.1109/FOCS.2013.30,2026-07-12,"Foundational bandits with knapsacks; DOI and pages corrected against the IEEE/Crossref record."
R36,retain,true,true,true,https://proceedings.mlr.press/v49/agrawal16.html,2026-07-11,"Contextual bandits with knapsacks."
R37,retain,true,true,true,https://proceedings.neurips.cc/paper/2019/hash/56cb94cb34617aeadff1e79b53f38354-Abstract.html,2026-07-11,"Delayed contextual bandit feedback."
R38,retain,true,true,true,https://proceedings.neurips.cc/paper_files/paper/2022/hash/4cd1d0d9892e4136fe86c97b89f77c6b-Abstract-Conference.html,2026-07-11,"Bandits with delayed feedback."
R39,retain,true,true,true,https://proceedings.mlr.press/v195/fikioris23a.html,2026-07-11,"Non-stationary budget-constrained bandits."
R40,retain,true,true,true,https://proceedings.mlr.press/v244/drago24a.html,2026-07-11,"Prediction-augmented bandits with knapsacks."
R41,retain,true,true,true,https://proceedings.iclr.cc/paper_files/paper/2024/file/f3549ef9b5ff520a7e41ff3cc306ab2b-Paper-Conference.pdf,2026-07-11,"Foundational conformal risk control."
R42,retain,true,true,true,https://papers.neurips.cc/paper_files/paper/2021/hash/0d441de75945e5acbc865406fc9a2559-Abstract.html,2026-07-11,"Adaptive conformal inference under shift."
R43,retain,true,true,true,https://jmlr.org/papers/v25/22-1218.html,2026-07-11,"Online conformal inference under arbitrary shifts."
R44,retain,true,true,true,https://doi.org/10.1080/00207179.2017.1323351,2026-07-11,"Joint chance constraints and risk allocation."
R45,retain,true,true,true,https://doi.org/10.1145/7239.7265,2026-07-11,"Foundational escrow reservation transaction."
R46,retain,true,true,true,https://doi.org/10.1007/s00778-023-00814-z,2026-07-11,"Transactional stream processing and event-order/failure guarantees."
R47,retain,true,true,true,https://www.usenix.org/conference/nsdi11/dominant-resource-fairness-fair-allocation-multiple-resource-types,2026-07-11,"Foundational multi-tenant resource fairness."
R48,retain,true,true,true,https://doi.org/10.1214/24-AOAS1998,2026-07-11,"Finite-sample Learn-then-Test risk calibration."
R49,retain,true,true,true,https://www.vldb.org/pvldb/vol7/p181-bailis.pdf,2026-07-11,"Highly Available Transactions and consistency/availability limits."
R50,retain,true,true,true,https://doi.org/10.1145/3600006.3613161,2026-07-11,"SOSP 2023 automatic end-to-end Kubernetes operator testing."
R51,retain,true,true,true,https://www.usenix.org/conference/osdi22/presentation/sun,2026-07-11,"OSDI 2022 automatic reliability testing for Kubernetes controllers."
X03,reject,true,false,false,https://arxiv.org/abs/2601.22132,2026-07-11,"Token-prefix shepherding is not admission or settlement."
X04,reject,true,false,false,https://arxiv.org/abs/2502.02743,2026-07-11,"Single-author routing preprint adds less direct evidence than retained peer-reviewed bandit routers."
X05,reject,true,false,false,https://proceedings.mlr.press/v262/alizadeh-vahid24a.html,2026-07-11,"Internal MoE layer routing is outside cross-model request admission."
X06,reject,true,false,false,https://arxiv.org/abs/2606.11690,2026-07-11,"Self-hosted infrastructure cost estimation is outside provider token-liability settlement."
X07,reject,true,false,false,https://aclanthology.org/2026.findings-acl.994/,2026-07-11,"RAG/reasoning feature routing is peripheral to monetary liability."
X08,reject,true,false,false,https://proceedings.iclr.cc/paper_files/paper/2025/hash/59f278de1619bdb6b53fd04e8e0976e0-Abstract-Conference.html,2026-07-11,"Long-form generation capability is not budget admission control."
R52,retain,true,true,true,https://openreview.net/pdf?id=wstTwzLFBw,2026-07-12,"ICML 2026 calibrated set-valued routing risk and abstention; closest risk-control comparator."
R53,retain,true,true,true,https://openreview.net/forum?id=gCUY6QIv8r,2026-07-12,"ICLR 2026 continual constrained and unconstrained routing; closest dynamic budget-router comparator."
R54,retain,true,true,true,https://openreview.net/pdf?id=CEKKZtZtqX,2026-07-12,"ICML 2026 local-SLM/remote-LLM cost-quality deferral baseline."
R55,retain,true,true,false,https://www.solo.io/blog/building-real-time-ai-cost-controls-with-agentgateway,2026-07-12,"Closest public gateway implementation: trusted identity, hierarchical atomic pre-reservation, provider-usage settlement, approvals, periods, PostgreSQL, and ExtProc."
R56,retain,true,true,false,https://docs.keelapi.com/budget-envelopes,2026-07-12,"Product documentation explicitly defines in-flight reserved liability, microdollar pre-dispatch locking, and actual-cost reconciliation."
R57,retain,true,true,false,https://agentbudget.dev/agentbudget_whitepaper_v1.pdf,2026-07-12,"Open whitepaper and code for two-phase pre-call estimation and post-call cost reconciliation in agent sessions."
X09,reject,true,false,false,https://arxiv.org/abs/2605.12001,2026-07-12,"CR2 controls device-edge routing correctness risk, already represented more strongly by accepted RACER and not monetary settlement risk."
X10,reject,true,false,true,https://machinelearning.apple.com/research/conformal-thinking-risk-control,2026-07-12,"ICML 2026 risk-controlled reasoning-token stopping is relevant context but not cross-model monetary admission; retained risk-control and output-length works cover its dimensions."
X12,reject,true,false,false,https://arxiv.org/abs/2604.23577,2026-07-12,"RouteNLP is a recent preprint whose conformal cascade and cost-quality dimensions are covered by accepted peer-reviewed routing comparators."
X13,reject,true,false,true,https://ojs.aaai.org/index.php/AAAI/article/view/40589,2026-07-12,"CP-Router is a local LLM/reasoning-model correctness router; RACER is the closer accepted set-valued risk comparator."
X14,reject,true,false,false,https://arxiv.org/abs/2605.20485,2026-07-12,"ZEBRA allocates a fixed agent pipeline budget for utility, not uncertain concurrent provider-cost liability."
X15,reject,true,false,false,https://arxiv.org/abs/2606.29654,2026-07-12,"Budgeted act-or-defer controls wrong-action risk rather than monetary cost settlement."
R58,retain,true,true,true,https://aclanthology.org/2025.findings-emnlp.208/,2026-07-13,"RouterEval is the selected routing outcome-matrix dataset and a major full-feedback benchmark; it does not study monetary settlement."
R59,retain,true,true,true,https://aclanthology.org/2025.findings-emnlp.787/,2026-07-13,"RadialRouter is a strong cost-quality RouterBench method with dynamic-pool evaluation."
R60,retain,true,true,true,https://aclanthology.org/2026.eacl-srw.22/,2026-07-13,"ContextualRouter and its competitive k-nearest-neighbor result establish simple few-shot retrieval as a strong generalisable router baseline."
R61,retain,true,true,true,https://aclanthology.org/2026.acl-long.2045/,2026-07-13,"MTRouter directly addresses fixed-budget multi-turn routing and switching behavior, but not concurrent unresolved liability."
R62,retain,true,true,true,https://aclanthology.org/2026.findings-acl.1888/,2026-07-13,"QUARTZ is exact prior art for conservative quantile-based request-cost proxies, admission, and queueing under output-length uncertainty."
R63,retain,true,true,true,https://papers.neurips.cc/paper_files/paper/2025/hash/4dd1d9b841712bd37b833559f041530c-Abstract-Conference.html,2026-07-13,"MESS+ gives cost-optimal online routing with virtual-queue SLA guarantees; it does not model monetary reserve-settle liability."
R64,retain,true,true,true,https://proceedings.neurips.cc/paper_files/paper/2025/hash/305a5630c29aaca434e3415fc4638eb2-Abstract-Conference.html,2026-07-13,"LLMRec is a strong user-budget-conditioned and dynamic-model-pool router."
R65,retain,true,true,true,https://proceedings.neurips.cc/paper_files/paper/2025/hash/357774d53e5ee21c5f08ba779e3b5dd9-Abstract-Conference.html,2026-07-13,"Causal LLM Routing learns from selected-model observational feedback and heterogeneous cost preferences."
R66,retain,true,true,true,https://aclanthology.org/2026.acl-long.1018/,2026-07-13,"FLARE jointly predicts per-query output-length-sensitive latency and cost for routing."
R67,retain,true,true,true,https://aclanthology.org/2026.acl-long.1007/,2026-07-13,"TRouter addresses cost-performance routing under cold start using task-profile synthesis."
R68,retain,true,true,false,https://arxiv.org/abs/2605.25424,2026-07-13,"SeqRoute is recent preprint prior art for global session budgets and budget-bankruptcy-aware sequential routing."
R69,retain,true,true,false,https://arxiv.org/abs/2604.08075,2026-07-13,"Dual-pool token-budget routing adapts a request-length proxy online and evaluates Azure and LMSYS traces; its cost is fleet capacity rather than tenant spend. The withdrawn duplicate arXiv:2604.09613 is excluded."
R70,retain,true,true,false,https://www.getmaxim.ai/articles/budget-and-rate-limit-architecture-for-multi-tenant-llm-platforms/,2026-07-13,"Bifrost is current industry prior art for four-tier tenant budget isolation, model allowlists, provider caps, and gateway routing."
R71,retain,true,true,false,https://arxiv.org/abs/2606.19376,2026-07-13,"SLARouter is the closest current cost-optimal online router under sparse one-sided feedback and SLA constraints; explicitly a preprint under review."
R72,retain,true,true,true,https://proceedings.neurips.cc/paper_files/paper/2025/hash/e46eb6403af68506331f941282d838aa-Abstract-Conference.html,2026-07-13,"CSCR is a NeurIPS 2025 Spotlight cost-aware dynamic-pool router and strong quality-cost comparator."
R73,retain,true,true,true,https://aclanthology.org/2026.eacl-long.228/,2026-07-13,"SemiRouter studies sparse-data adaptive routing when the model pool evolves."
R74,retain,true,true,true,https://openreview.net/forum?id=r0BFucF2dH,2026-07-13,"Meta-Router is accepted ICLR 2026 causal routing work combining biased preference data with scarce gold evaluations."
R75,retain,true,true,true,https://proceedings.neurips.cc/paper_files/paper/2025/hash/1759a83b007f0685c3fbc460fa1b6395-Abstract-Conference.html,2026-07-13,"RAGRouter is a strong document-aware routing comparator for retrieval workloads."
R76,retain,true,true,true,https://proceedings.neurips.cc/paper_files/paper/2025/hash/39c60dda48ebf0a2e5dda52ce08eb5c8-Abstract-Conference.html,2026-07-13,"Principled Model Routing provides robust guarantees for unknown mixtures of source domains and narrows generic drift-robust routing claims."
R77,retain,true,true,true,https://aclanthology.org/2026.acl-long.2051/,2026-07-13,"Route to Rome is current black-box attack prior art showing adversarial steering toward expensive models."
X16,reject,true,false,false,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6965739,2026-07-13,"COST-GOV search metadata was material enough to screen, but the primary paper could not be retrieved and its detailed claims could not be independently verified."
X17,reject,true,false,true,https://doi.org/10.1016/j.softx.2026.102782,2026-07-13,"Multi-LLM Prototype has a September 2026 issue date after the 13 July 2026 review cutoff."
X18,reject,true,false,true,https://ojs.aaai.org/index.php/AAAI/article/view/38748,2026-07-13,"PriLLM optimizes dynamic service pricing rather than admission under unresolved token-cost liability."
X19,reject,true,false,false,https://arxiv.org/abs/2510.00841,2026-07-13,"Dueling-feedback routing is relevant partial-feedback context but does not materially extend retained observational and bandit routing comparators."
X20,reject,true,false,false,https://arxiv.org/abs/2602.09902,2026-07-13,"Routing-and-user-choice game studies provider/user incentives and latency rather than hard budget accounting."
X21,reject,true,false,false,https://air-governance-framework.finos.org/,2026-07-13,"FINOS denial-of-wallet controls are governance guidance rather than a routing or settlement research method."
X22,reject,true,false,false,https://arxiv.org/abs/2604.09613,2026-07-13,"Withdrawn duplicate of retained arXiv:2604.08075; no current PDF or license."
